Date,Dismissal Location,Time In,Time Out,Time In Clean,Time Out Clean,Time Difference,Diff Mins,carpool_id
11/4/22 14:00,9th Grade,11/4/22 15:23,11/4/22 15:29,15:23,15:29,0:06:00,6,111752
11/4/22 14:00,10th Grade,11/4/22 15:24,11/4/22 15:29,15:24,15:29,0:05:00,5,111758
11/4/22 14:00,12th Grade,11/4/22 15:24,11/4/22 15:29,15:24,15:29,0:05:00,5,111759
11/4/22 14:00,11th Grade,11/4/22 15:25,11/4/22 15:30,15:25,15:30,0:05:00,5,111762
11/4/22 14:00,9th Grade,11/4/22 15:25,11/4/22 15:31,15:25,15:31,0:06:00,6,111766
11/4/22 14:00,11th Grade,11/4/22 15:25,11/4/22 15:32,15:25,15:32,0:07:00,7,111767
11/4/22 14:00,11th Grade,11/4/22 15:26,11/4/22 15:29,15:26,15:29,0:03:00,3,111770
11/4/22 14:00,9th Grade,11/4/22 15:26,11/4/22 15:32,15:26,15:32,0:06:00,6,111771
11/4/22 14:00,12th Grade,11/4/22 15:26,11/4/22 15:32,15:26,15:32,0:06:00,6,111771
11/4/22 14:00,10th Grade,11/4/22 15:27,11/4/22 15:32,15:27,15:32,0:05:00,5,111774
11/4/22 14:00,11th Grade,11/4/22 15:28,11/4/22 15:33,15:28,15:33,0:05:00,5,111780
11/4/22 14:00,10th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111784
11/4/22 14:00,9th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111787
11/4/22 14:00,9th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111788
11/4/22 14:00,9th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111789
11/4/22 14:00,9th Grade,11/4/22 15:31,11/4/22 15:36,15:31,15:36,0:05:00,5,111795
11/4/22 14:00,9th Grade,11/4/22 15:32,11/4/22 15:36,15:32,15:36,0:04:00,4,111800
11/4/22 14:00,10th Grade,11/4/22 15:34,11/4/22 15:37,15:34,15:37,0:03:00,3,111812
11/4/22 14:00,9th Grade,11/4/22 15:35,11/4/22 15:38,15:35,15:38,0:03:00,3,111815
11/4/22 14:00,12th Grade,11/4/22 15:35,11/4/22 15:38,15:35,15:38,0:03:00,3,111815
11/4/22 14:00,11th Grade,11/4/22 15:35,11/9/22 16:16,15:35,16:16,120:41:00,"7,241",111819
11/4/22 14:00,11th Grade,11/4/22 15:35,11/4/22 15:39,15:35,15:39,0:04:00,4,111822
11/4/22 14:00,12th Grade,11/4/22 15:36,11/4/22 15:40,15:36,15:40,0:04:00,4,111823
11/4/22 14:00,11th Grade,11/4/22 15:37,11/4/22 15:37,15:37,15:37,0:00:00,0,111833
11/4/22 14:00,11th Grade,11/4/22 15:37,11/4/22 15:41,15:37,15:41,0:04:00,4,111834
11/4/22 14:00,12th Grade,11/4/22 15:38,11/4/22 15:42,15:38,15:42,0:04:00,4,111841
11/4/22 14:00,11th Grade,11/4/22 15:39,11/7/22 15:54,15:39,15:54,72:15:00,"4,335",111845
11/4/22 14:00,9th Grade,11/4/22 15:40,11/4/22 15:43,15:40,15:43,0:03:00,3,111849
11/4/22 14:00,11th Grade,11/4/22 15:40,11/4/22 15:53,15:40,15:53,0:13:00,13,111851
11/4/22 14:00,11th Grade,11/4/22 15:44,11/4/22 15:52,15:44,15:52,0:08:00,8,111857
11/4/22 14:00,9th Grade,11/4/22 15:45,11/4/22 15:52,15:45,15:52,0:07:00,7,111861
11/4/22 14:00,11th Grade,11/4/22 15:50,11/7/22 15:13,15:50,15:13,71:23:00,"4,283",111869
11/4/22 14:00,9th Grade,11/4/22 15:53,11/4/22 15:59,15:53,15:59,0:06:00,6,111872
11/4/22 14:00,9th Grade,11/4/22 15:57,11/7/22 15:51,15:57,15:51,71:54:00,"4,314",111875
